編號,地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價(萬元/坪),總面積(坪),主建物佔比,型態,屋齡,樓別/樓高,主要用途,交易標的,交易筆棟數,建物現況格局,車位總價(萬元),管理組織,電梯,備註,,
1882,歸仁區六甲二街６３號,,112/11/10,"1,680",,60.93,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
1883,歸仁區七甲里南潭二街１３０巷３弄１８號,,112/11/19,535,,50.22,,透天厝,29,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳3衛,,無,無,,,
1884,歸仁區大廟二街２７號,薪成家,112/11/14,"1,190",,45.49,,透天厝,19,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,頂樓加蓋;其他增建;,,
1885,歸仁區文化街三段８９號,,112/11/21,"3,380",,94.30,,透天厝,1,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳6衛,,無,有,,,
1886,歸仁區民生十二街１１５巷２弄２號,,112/11/28,"1,889",,56.58,,透天厝,2,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳4衛,,無,無,,,
1887,歸仁區中山路一段１０號,,112/11/29,660,,38.61,,透天厝,,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房4廳2衛,,無,無,頂樓加蓋;其他增建;,,
1888,歸仁區大廟五街１３１巷８號五樓之５,,112/11/13,950,26.4,35.99,66.24%,華廈(10層含以下有電梯),1,五層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1889,歸仁區中山十二街１６號,,112/11/29,76.16,,166.03,,透天厝,33,全/一層,工業用,建物,土:0 建物:2 車位:0,1房1廳1衛,,無,無,"僅建物交易,建物為工業廠房;建物坐落地號：南興段999地號;親友、員工、共有人或其他特殊關係間之交易;未登記建物;",,
1890,歸仁區文化六街２７號,,112/11/30,185.89,,29.77,,透天厝,43,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;未登記建物;,,
1891,歸仁區崙頂二街５０巷１號,,112/11/06,918,,54.19,,透天厝,29,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
1892,歸仁區民生十二街１１５巷５２弄２號,,112/11/06,"1,700",,51.70,,透天厝,1,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳4衛,,無,無,未登記建物;,,
1893,歸仁區文化街三段８１號,,112/11/07,"2,900",,84.44,,透天厝,1,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,有,,,
1894,歸仁區西埔一街１８８巷４３號,,112/11/26,650,,52.82,,透天厝,32,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房4廳4衛,,無,無,陽台外推;其他增建;,,
1895,歸仁區南興街２６０號,,112/11/17,980,,58.31,,透天厝,30,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,5房4廳4衛,,無,無,其他增建;,,
1896,歸仁區武東一街４９巷７０號二樓之３,,112/11/22,173,14.7,11.79,62.20%,華廈(10層含以下有電梯),26,二層/六層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1衛,,有,有,,,
1897,歸仁區大潭一街１８巷８號,,112/11/08,900,,56.82,,透天厝,33,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房3廳2衛,,無,無,,,
1898,歸仁區民生八街２８巷１９弄５４號,,112/11/17,610,,23.89,,透天厝,42,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,無,無,其他增建;,,
1899,歸仁區辜厝里大順二街４０號四樓之１,加拿會館,112/11/03,870,22.7,38.25,63.49%,華廈(10層含以下有電梯),6,四層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1900,歸仁區南潭二街１３０巷７弄２１號,,112/11/15,870,,50.22,,透天厝,29,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳3衛,,無,無,其他增建;,,
1901,歸仁區中正十五街３號,,112/11/13,"1,000",,48.42,,透天厝,31,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳3衛,,無,無,,,
1902,歸仁區公園路３９巷１號,,112/11/03,"1,812",,55.71,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,無,,,
1903,歸仁區南興里民生二街１１８號,,112/11/09,700,,57.56,,透天厝,30,全/三層,住家用,房地(土地+建物),土:4 建物:1 車位:0,4房2廳3衛,,無,無,二親等間買賣,,
1904,歸仁區保大路一段１３３巷１０弄１６號,,112/11/02,650,,36.21,,透天厝,28,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,,,
1905,歸仁區六甲二街６１號,,112/11/16,"1,640",,59.10,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
1906,歸仁區民生十二街１２５號,,112/11/28,"2,045",,60.17,,透天厝,2,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,,,
1907,歸仁區民生十二街１１５巷２弄６號,,112/11/28,"1,889",,58.62,,透天厝,2,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳4衛,,無,無,,,
1908,歸仁區七甲里七甲五街１０２巷４９號,,112/11/30,"1,320",,53.34,,透天厝,26,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳3衛,,無,無,,,
1909,歸仁區後市里民族北街７６號,,112/11/09,"2,200",,68.31,,透天厝,11,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳4衛,,無,無,,,
1910,歸仁區仁愛南街２３８號二樓之２,,112/11/20,785,26.7,29.44,69.09%,華廈(10層含以下有電梯),,二層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,"建物第一次登記後移轉,預售屋、或土地及建物分件登記案件;",,
1911,安南區安中路一段６９９巷９２之３號,,113/06/07,428,13.8,30.99,78.89%,公寓(5樓含以下無電梯),43,四層/四層,住家用,房地(土地+建物),土:14 建物:1 車位:0,3房2廳2衛,,無,無,陽台外推;其他增建;,,
1912,安南區敬安街３號六樓,北安大地甲區,113/06/03,650,19.3,33.63,69.92%,住宅大樓(11層含以上有電梯),29,六層/十五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,有,有,,,
1913,安南區安中路一段７５７巷１９號,,113/06/06,345,,30.55,,透天厝,33,全/三層,住商用,房地(土地+建物),土:1 建物:1 車位:0,6房2廳4衛,,無,有,交易總價分土地價款$281萬2仟元、建物價款$63萬8仟元。移轉土地及建物持分各1/2。親友、員工、共有人或其他特殊關係間之交易;,,
1914,安南區安和路四段１３１巷２之３號,,113/06/14,627.5,,31.59,,透天厝,7,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,6房2廳6衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1915,安南區生態街５９號七樓之２,,113/05/06,"2,150",29.2,73.50,59.50%,住宅大樓(11層含以上有電梯),1,七層/二十層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,3房2廳2衛,,有,有,,,
1916,安南區永續三街２６６號二樓之７,佳展大景,113/05/23,"1,170",25.8,45.42,59.95%,住宅大樓(11層含以上有電梯),3,二層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1917,安南區府安路五段２２３巷５１號,,113/05/14,"1,270",,49.40,,透天厝,29,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,,,
1918,安南區溪東二街１２號,,113/05/28,"3,490",,82.39,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房3廳6衛,,無,無,,,
1919,安南區安佃二街２１３號,,113/05/14,"1,930",,70.98,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,無,,,
1920,安南區義吉街２５號九樓,,113/05/02,"1,050",29.7,35.35,59.67%,住宅大樓(11層含以上有電梯),1,九層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1921,安南區大聖路１３５號,,113/05/13,400,,36.03,,透天厝,42,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,二親等買賣親友、員工、共有人或其他特殊關係間之交易;,,
1922,安南區海佃路四段１１８巷８弄４０號,,113/05/12,"1,420",,50.67,,透天厝,17,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳3衛,,無,無,陽台外推;其他增建;,,
1923,安南區府安路五段７６巷９號,,113/05/01,"1,250",,33.35,,透天厝,44,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,5房3廳3衛,,無,無,其他增建;,,
1924,安南區義吉街１７號十三樓,,113/05/12,"1,095",31,35.35,59.67%,住宅大樓(11層含以上有電梯),1,十三層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1925,安南區富東路２２號五樓之６,,113/05/20,538,21.2,25.42,54.49%,華廈(10層含以下有電梯),30,"五層,夾層/五層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房1廳2衛,,無,有,親友、員工、共有人或其他特殊關係間之交易;夾層;,,
1926,安南區港仔西街２３號,,113/05/17,980,,40.61,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳4衛,,無,無,,,
1927,安南區環福街２３３號,,113/05/10,"2,000",,83.72,,透天厝,34,全/三層,住工用,房地(土地+建物),土:5 建物:1 車位:0,3房4廳3衛,,無,無,,,
1928,安南區同安路４２０號十五樓之２,怡情玉樓,113/05/26,698,15.8,44.25,75.66%,住宅大樓(11層含以上有電梯),28,十五層/十七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1929,安南區國安街５６巷１４１弄９６號,,113/05/30,"1,000",,21.09,,透天厝,44,全/二層,住商用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1930,安南區安中一街５９號,一品苑,113/05/10,"2,700",,51.13,,透天厝,13,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,其他增建;,,
1931,安南區館安路７３巷３１號,,113/05/19,"1,900",,74.58,,透天厝,9,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳5衛,,無,無,,,
1932,安南區安中路四段３２０巷６９弄１號,,113/05/08,"1,180",,39.16,,透天厝,33,全/三層,住商用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,頂樓加蓋;其他增建;,,
1933,安南區樂活一街５６號二十樓,,113/05/02,"1,482",31.6,46.90,53.89%,住宅大樓(11層含以上有電梯),,二十層/二十七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
1934,安南區功安四街７號五樓之２,,113/05/17,718,31.1,23.12,63.49%,華廈(10層含以下有電梯),1,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1935,安南區海佃路四段３８４號,,113/05/29,"3,200",,65.30,,透天厝,46,全/二層,住家用,房地(土地+建物),土:2 建物:2 車位:0,4房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1936,安南區培安路３０５巷７號十四樓之５,佳順安順,113/05/22,"1,010",27.6,36.60,61.45%,住宅大樓(11層含以上有電梯),2,十四層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
1937,安南區安生街１６６之１號三樓,,113/05/28,700,17.6,39.69,64.48%,公寓(5樓含以下無電梯),29,三層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,無,無,,,
1938,安南區安中路四段４３號,,113/05/01,"1,500",,86.10,,透天厝,41,全/二層,住商用,房地(土地+建物),土:2 建物:1 車位:0,6房6廳4衛,,無,無,頂樓加蓋;,,
1939,安南區安中路四段２１１巷６６號,,113/05/18,"1,843",,50.76,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,有,無,,,
1940,安南區頂安街６９巷２９號,,113/05/17,"2,580",,82.88,,透天厝,14,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳5衛,,無,有,其他增建;,,
1941,安南區大安街８９巷２號,,113/05/20,600,,27.06,,透天厝,43,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
1942,安南區安中路一段７０２巷１０之２號,,113/05/02,300,9.5,31.67,78.54%,公寓(5樓含以下無電梯),43,三層/四層,住家用,房地(土地+建物),土:14 建物:1 車位:0,3房2廳2衛,,無,無,,,
1943,安南區生態街５９號十樓之３,,113/05/10,"1,940",31.3,62.02,59.36%,住宅大樓(11層含以上有電梯),1,十層/二十層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1944,安南區府安路七段２８巷２０號,,113/05/08,"1,180",,23.29,,透天厝,44,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
1945,安南區安中路一段６２２巷２０１號,,113/05/14,"1,200",,57.57,,透天厝,25,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,其他增建;,,
1946,安南區義安街２２６巷２號,,113/05/13,650,,32.76,,透天厝,42,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
1947,安南區義安街２２６巷９號,,113/05/13,700,,32.17,,透天厝,42,全/二層,住商用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳2衛,,無,無,其他增建;,,
1948,安南區府安路五段９８巷５６弄１０２號,,113/05/10,"2,300",,58.16,,透天厝,6,全/四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,5房2廳4衛,,有,無,,,
1949,安南區同安路２３７巷１號六樓之５,伊吉棒,113/05/01,720,18.6,38.63,56.35%,住宅大樓(11層含以上有電梯),25,六層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1950,安南區長溪路三段２７３巷４２號,,113/05/04,735,,27.77,,透天厝,44,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,6房3廳6衛,,無,無,其他增建;,,
1951,安南區安中路一段１５５巷１３號,安金中,113/05/06,"2,030",,47.10,,透天厝,9,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1952,安南區工明南一路２２號,,113/05/02,"3,300",,113.94,,透天厝,22,全/三層,辦公用,房地(土地+建物),土:1 建物:1 車位:0,6房2廳8衛,,無,無,其他增建;,,
1953,安南區安中路一段３５４巷３２弄８號,,113/05/06,485,,25.49,,透天厝,45,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳1衛,,無,無,,,
1954,安南區安和路二段３１８巷３５弄２０號,,113/05/04,"1,080",,29.48,,透天厝,49,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,未登記建物;,,
1955,安南區樂活一街５２號十樓,,113/05/08,"1,375",29.3,46.90,53.89%,住宅大樓(11層含以上有電梯),,十層/二十七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
1956,安南區公學路五段６９７巷１７１號七樓之１,安南居易大樓,113/05/02,535,17.1,31.36,62.63%,住宅大樓(11層含以上有電梯),26,七層/十二層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1957,安南區同安路１６７巷４７號,,113/05/01,"2,080",,73.27,,透天厝,10,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳5衛,,無,無,其他增建;,,
1958,安南區府安路五段１１巷７７弄４３號,,113/05/03,690,,34.24,,透天厝,38,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
1959,安南區安西路６３號,,113/05/10,"4,800",,86.99,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳6衛,,無,有,含裝潢費;含傢俱設備費;其他增建;,,
1960,安南區安興街２０９巷１０號,,113/05/02,"1,280",,40.44,,透天厝,3,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,陽台外推;,,
1961,安南區樂安二街１１０巷７號,,113/05/29,"1,770",,58.53,,透天厝,1,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房3廳6衛,,無,無,未登記建物;,,
1962,安南區安中路四段２１１巷７２號,,113/05/04,"1,838",,50.39,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,有,無,,,
1963,安南區宜居二路１６８號,,113/05/11,"2,720",,69.54,,透天厝,,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳5衛,,無,無,,,
1964,安南區北安路二段４８９號五樓之６,,113/05/12,"1,420",30,47.33,58.91%,住宅大樓(11層含以上有電梯),1,五層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1965,安南區海佃路三段６１號,,113/05/27,"2,800",,119.35,,透天厝,30,全/四層,其他,房地(土地+建物),土:1 建物:1 車位:0,5房2廳5衛,,無,有,頂樓加蓋;未登記建物;,,
1966,安南區田路３２３巷２６號,,113/05/01,"1,350",,61.13,,透天厝,17,全/三層,住家用,房地(土地+建物),土:3 建物:1 車位:0,4房1廳4衛,,無,無,代書費、契稅、印花稅、規費由賣方負擔。,,
1967,安南區安中路一段７０３巷６４之１號,,113/05/02,520,16.8,30.99,78.89%,公寓(5樓含以下無電梯),43,二層/四層,住家用,房地(土地+建物),土:15 建物:1 車位:0,3房2廳2衛,,無,無,陽台外推;,,
1968,安南區大安街４６１巷３７弄３９號,,113/05/05,"1,050",,36.63,,透天厝,33,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳3衛,,無,無,頂樓加蓋;其他增建;,,
1969,安南區台江大道一段８５７號,,113/05/04,"1,880",,51.55,,透天厝,8,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,其他增建;,,
1970,安南區慶安路１１５巷６６號二樓,,113/05/09,"1,635",30.2,54.19,67.20%,華廈(10層含以下有電梯),,二層/五層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,4房2廳2衛,,無,有,,,
1971,安南區安明路四段５５７號四樓之５,樂沐城東,113/05/01,480,15.4,31.18,66.62%,華廈(10層含以下有電梯),3,四層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房1廳2衛,,有,有,親友、員工、共有人或其他特殊關係間之交易;,,
1972,安南區慈興七街９２號,,113/05/08,"1,420",,47.89,,透天厝,2,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,其他增建;,,
1973,安南區長溪路一段４０７巷１６弄９號,,113/05/03,"1,250",,63.60,,透天厝,33,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,8房2廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1974,安南區國安街５６巷４９弄１５號,,113/05/08,"1,920",,57.89,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳3衛,,無,無,陽台外推;其他增建;,,
1975,安南區北安路二段４９１號十三樓之１,,113/05/10,935,26.1,35.76,57.55%,住宅大樓(11層含以上有電梯),1,十三層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1976,安南區安中路一段５５７巷１９弄６３號,安南之星,113/05/05,"1,700",,57.97,,透天厝,15,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,無,其他增建;,,
1977,安南區府安路三段２８９巷４６弄１８號,,113/05/05,"1,440",,27.35,,透天厝,44,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
1978,安南區安西路５９號,,113/05/01,"4,200",,85.61,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳6衛,,無,有,其他增建;,,
1979,安南區義吉街２５號六樓,,113/05/09,"1,078",30.5,35.35,59.67%,住宅大樓(11層含以上有電梯),1,六層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1980,安南區安西路５７號,,113/05/02,"3,900",,86.56,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳6衛,,無,有,其他增建;,,
1981,安南區安豐五街１０７號三樓之３,安豐綠建築,113/05/05,720,32.7,22.04,66.85%,華廈(10層含以下有電梯),2,三層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,,,
1982,安南區宜居二路１７８號,,113/04/13,"2,438",,65.04,,透天厝,,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳5衛,,無,無,,,
1983,安南區培安路３４２巷１３號,,113/04/21,"1,140",,53.42,,透天厝,29,全/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1984,安南區北安路四段２５０號,,113/04/25,"3,315",,99.50,,透天厝,4,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,有,,,
1985,安南區安中路四段２１１巷２６弄１１３號,,113/04/20,"1,430",,45.48,,透天厝,1,全/四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳4衛,,有,無,,,
1986,安南區海佃路四段４５６巷３號,,113/04/05,"1,338",,47.34,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,,,
1987,安南區長和路一段５７７巷５１號,,113/04/30,"2,270",,54.96,,透天厝,11,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,有,無,,,
1988,安南區安中路四段２１１巷６２號,,113/04/20,"1,750",,49.99,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,有,無,,,
1989,安南區安中路四段２１１巷２６弄８１號,,113/04/20,"1,530",,45.87,,透天厝,1,全/四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,4房2廳5衛,,有,無,,,
1990,安南區安寧街１０３巷３８之２號,,113/04/03,"2,000",,50.98,,透天厝,8,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,無,,,
1991,安南區同安路３２２巷３０號,,113/04/21,"1,275",,58.49,,透天厝,29,全/四層,其他,房地(土地+建物),土:2 建物:1 車位:0,5房2廳2衛,,無,無,其他增建;,,
1992,安南區永續三街２６０號七樓之６,佳展大景,113/04/13,"1,390",25.8,53.85,61.93%,住宅大樓(11層含以上有電梯),3,七層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1993,安南區海環街３２巷５７弄２號,,113/04/17,580,,26.60,,透天厝,44,全/二層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房1廳5衛,,無,無,頂樓加蓋;其他增建;,,
1994,安南區府安路六段２７巷４０弄３號,,113/04/30,260,,14.00,,透天厝,43,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,7房1廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1995,安南區安中路四段２１１巷２６弄１１５號,,113/04/20,"1,425",,45.48,,透天厝,1,全/四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳4衛,,有,無,,,
1996,安南區州南二街６８號四樓之７,,113/04/22,"1,050",23.4,44.82,62.39%,華廈(10層含以下有電梯),1,四層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1997,安南區田路３０巷３２號,,113/04/26,800,,43.90,,透天厝,19,全/三層,住家用,房地(土地+建物),土:3 建物:1 車位:0,5房2廳4衛,,有,無,配偶相互間買賣，土地增值稅及契稅172081元整買方負擔親友、員工、共有人或其他特殊關係間之交易;,,
1998,安南區北安路二段４９１號九樓之１,,113/04/22,"1,080",30.2,35.76,57.55%,住宅大樓(11層含以上有電梯),1,九層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1999,安南區長溪路二段２９５號,,113/04/17,860,,14.27,,透天厝,50,全/一層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,無,無,夾層;,,
2000,安南區城北路２３４巷１３０弄１８號,,113/04/19,"1,255",,49.10,,透天厝,1,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳4衛,,有,無,,,
2001,安南區義吉街１３號十三樓,,113/04/30,"1,250",26.4,47.36,61.22%,住宅大樓(11層含以上有電梯),1,十三層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
2002,安南區育安二街１３５巷１５號三樓之５,圓滿6期,113/04/18,730,28.6,25.57,67.40%,華廈(10層含以下有電梯),6,三層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,無,有,陽台外推;,,
2003,安南區安富街２５１巷２８弄３９號,,113/04/06,835.2,,29.82,,透天厝,39,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,7房2廳3衛,,無,無,其他增建;,,
2004,安南區樂活路２３６號六樓之１,森Mori,113/04/30,"2,860",22.3,128.37,57.46%,華廈(10層含以下有電梯),3,六層/六層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,3房2廳3衛,,有,有,親友、員工、共有人或其他特殊關係間之交易;,,
2005,安南區國安街１５５巷４５弄８號,,113/04/18,620,,30.69,,透天厝,44,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
2006,安南區安中路一段８２２號九樓,台南第一,113/04/12,733,15.5,47.23,63.88%,住宅大樓(11層含以上有電梯),28,"九層,十層/十七層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
2007,安南區公學路五段６９７巷１５３號六樓,安南居易大樓,113/04/23,540,20.3,26.59,70.46%,住宅大樓(11層含以上有電梯),26,六層/十二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
2008,安南區同安路１６７巷１２８號,,113/04/08,"1,660",,67.83,,透天厝,12,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳4衛,,無,無,頂樓加蓋;其他增建;,,
2009,安南區惠安街１６１巷１０號,,113/04/05,695,,27.82,,透天厝,44,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
2010,安南區國安街１５６巷１４１弄１０號,,113/04/06,930,,24.83,,透天厝,43,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
